
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][0][0] Writing EVENT d=9, t=1419, d_res=0, t_res=1419
[ENCODE] [0][0][1] Writing EVENT d=9, t=1403, d_res=0, t_res=1403
[ENCODE] [0][0][2] Writing EVENT d=9, t=1419, d_res=0, t_res=1419
[ENCODE] [0][0][3] Writing EVENT d=9, t=1419, d_res=0, t_res=1419
[ENCODE] [0][0][4] Writing EVENT d=9, t=1401, d_res=0, t_res=1401
[ENCODE] [0][0][5] Writing EVENT d=9, t=1500, d_res=0, t_res=1500
[ENCODE] [0][0][6] Writing EVENT d=9, t=1419, d_res=0, t_res=1419
[ENCODE] [0][0][7] Writing EVENT d=9, t=1388, d_res=0, t_res=1388
[ENCODE] [0][0][8] Writing EVENT d=9, t=1456, d_res=0, t_res=1456
[ENCODE] [0][0][9] Writing EVENT d=9, t=1456, d_res=0, t_res=1456
[ENCODE] [0][0][10] Writing EVENT d=9, t=1434, d_res=0, t_res=1434
[ENCODE] [0][0][11] Writing EVENT d=9, t=1466, d_res=0, t_res=1466
[ENCODE] [0][0][12] Writing EVENT d=9, t=1554, d_res=0, t_res=1554
[ENCODE] [0][0][13] Writing EVENT d=9, t=1506, d_res=0, t_res=1506
[ENCODE] [0][0][14] Writing EVENT d=9, t=1483, d_res=0, t_res=1483
[ENCODE] [0][0][15] Writing EVENT d=9, t=1409, d_res=0, t_res=1409
[ENCODE] [0][1][0] Writing EVENT d=9, t=1483, d_res=0, t_res=1483
[ENCODE] [0][1][1] Writing EVENT d=9, t=1563, d_res=0, t_res=1563
[ENCODE] [0][1][2] Writing EVENT d=9, t=1615, d_res=0, t_res=1615
[ENCODE] [0][1][3] Writing EVENT d=9, t=1551, d_res=0, t_res=1551
[ENCODE] [0][1][4] Writing EVENT d=9, t=1436, d_res=0, t_res=1436
[ENCODE] [0][1][5] Writing EVENT d=9, t=1500, d_res=0, t_res=1500
[ENCODE] [0][1][6] Writing EVENT d=9, t=1536, d_res=0, t_res=1536
[ENCODE] [0][1][7] Writing EVENT d=9, t=1494, d_res=0, t_res=1494
[ENCODE] [0][1][8] Writing EVENT d=9, t=1484, d_res=0, t_res=1484
[ENCODE] [0][1][9] Writing EVENT d=9, t=1500, d_res=0, t_res=1500
[ENCODE] [0][1][10] Writing EVENT d=9, t=1466, d_res=0, t_res=1466
[ENCODE] [0][1][11] Writing EVENT d=9, t=1445, d_res=0, t_res=1445
[ENCODE] [0][1][12] Writing EVENT d=9, t=1542, d_res=0, t_res=1542
[ENCODE] [0][1][13] Writing EVENT d=9, t=1632, d_res=0, t_res=1632
[ENCODE] [0][1][14] Writing EVENT d=9, t=1551, d_res=0, t_res=1551
[ENCODE] [0][1][15] Writing EVENT d=9, t=1524, d_res=0, t_res=1524
[ENCODE] [0][2][0] Writing EVENT d=9, t=1518, d_res=0, t_res=1518
[ENCODE] [0][2][1] Writing EVENT d=9, t=1491, d_res=0, t_res=1491
[ENCODE] [0][2][2] Writing EVENT d=9, t=1573, d_res=0, t_res=1573
[ENCODE] [0][2][3] Writing EVENT d=9, t=1611, d_res=0, t_res=1611
